Sentences,True_Labels,Predicted_Labels,Probabilty_Score_Class0,Probabilty_Score_Class1,Probabilty_Score_Class2,Probabilty_Score_Class3,Speculative_Words
"If you still have concerns about cookies , you may choose to opt out of their use .",0,0,0.7216199636459351,0.24821510910987854,0.026669973507523537,0.003494902979582548,"""opt out"": 2,     ""cookies"": 1,     ""concerns"": 3     "
"The U.S . Postal Service will provide a prominent notice to children describing in age appropriate terms what personally identifiable information will be collected , and explain the need for those children to obtain parental consent before sharing their information .",1,0,0.5592687726020813,0.4121355712413788,0.025793446227908134,0.002802218310534954,"""information"": 1,     ""provide"": 1,     ""explain"": 1,     ""identifiable information"": 1,     ""need"": 1,     ""those children"": 1,     ""personally identifiable information"": 1     "
The system for providing the job listing/resume database and the on-campus recruiting service uses cookies and may collect system information such as IP address and browser version .,1,1,0.03259705752134323,0.8738113045692444,0.09174185246229172,0.0018497967394068837,"""cookies"": 1,     ""may"": 1,     ""system"": 1,     ""may collect system information"": 1,     ""collect"": 1,     ""system information"": 1     "
"Who , if anyone , is collecting your personal information ;",2,0,0.48602500557899475,0.4619566798210144,0.014072239398956299,0.037946052849292755,""""": 1,     ""collecting"": 1,     ""if anyone"": 1,     ""who"": 2,     ""anyone"": 2,     ""personal information"": 3     "
Wizards wants to give you the most exciting Internet experience possible .,1,1,0.4176833927631378,0.5123429298400879,0.06714475899934769,0.0028289619367569685,"""wants"": 1,     ""most exciting"": 1,     ""experience"": 2,     ""to give"": 1,     ""wizards"": 2,     ""exciting"": 2     "
"When it is using such a third party processing company , Wizards will not have access to your credit card data .",1,1,0.15521922707557678,0.8157690167427063,0.02674720622599125,0.002264522248879075,"""such a"": 1,     ""wizards"": 3,     ""third party"": 2,     ""such a third party"": 1,     ""data"": 1,     ""third party processing company"": 1     "
"If you are under the age of 13 , some features of the Sites may be unavailable to you .",2,1,0.14404283463954926,0.6063992977142334,0.24609686434268951,0.0034609846770763397,"""some features"": 3,     ""some"": 2,     ""features"": 2,     ""sites"": 1     "
"For other Wizards promotions , we may request your name and home address in order to send you products or information by regular mail .",0,1,0.3792981207370758,0.5139846801757812,0.1023910865187645,0.0043261670507490635,"""may"": 1,     ""information"": 1,     ""products"": 1,     ""for other"": 1     "
"Whatever the activity may be , we will only collect information to the extent it is reasonably necessary to fulfill your requests and our legitimate business objectives .",1,2,0.008556132204830647,0.0780009999871254,0.9076025485992432,0.0058403946459293365,"""legitimate business objectives"": 1,     ""to the extent it is reasonably necessary; legitimate business objectives"": 1,     ""whatever the activity may be"": 1,     ""reasonably"": 1,     ""generally"": 1,     ""legitimate"": 1,     ""extent"": 1,     ""reasonably necessary"": 1     "
"The demographic information ( e.g. , age and gender ) you provide us is collected by Wizards and may be disclosed in aggregate to third parties .",2,1,0.058510687202215195,0.583190381526947,0.3555847406387329,0.0027141619939357042,"""may be"": 2,     ""third parties"": 2,     ""may"": 1,     ""us"": 1,     ""wizards"": 4,     ""aggregate"": 2     "
This aggregate demographic information can not be used to personally identify you or your computer .,1,0,0.5081561803817749,0.48122867941856384,0.009866701439023018,0.000748447491787374,"""aggregate"": 2,     ""information"": 1,     ""demographic"": 1,     ""identify"": 1     "
This means that we may share the information for prize fulfillment purposes or mail carriers .,1,1,0.11137118190526962,0.8424338698387146,0.03556922450661659,0.010625679045915604,"""information"": 3,     ""the information"": 1,     ""this"": 1,     ""purposes"": 1,     ""prize fulfillment"": 1,     ""may share"": 1,     ""mail carriers"": 1     "
"If you are visiting from the European Union or other regions with laws governing data collection and use that may differ from U.S. law , please note that you are transferring your personally identifiable information to the United States which does not have the same data protection laws as the EU and by providing your personally identifiable information you consent to :",1,1,0.0804973766207695,0.8505790829658508,0.06485116481781006,0.004072367213666439,"""if you are"": 1,     ""data protection laws"": 1,     ""identifiable information"": 1     "
* the transfer of your personally identifiable information to the United States as indicated above .,1,0,0.5487395524978638,0.4365523159503937,0.011576981283724308,0.00313120661303401,""""": 1,     ""indicated"": 1,     ""personally identifiable"": 1,     ""transfer"": 1,     ""identifiable information"": 2,     ""identifiable"": 1,     ""above"": 1,     ""personally identifiable information"": 1     "
"The GIF tells us the IP address of the computer that fetched our page , the URL of the page the GIF is on , the time the page was viewed , the type of browser used , and it can also identify a previously set cookie value .",0,0,0.6584289073944092,0.3368281126022339,0.004619579762220383,0.00012342950503807515,"""fetched"": 1,     ""ip address"": 1,     ""url"": 1,     ""gif"": 1,     ""computer"": 1,     ""cookie"": 1,     ""address"": 1,     ""page"": 1,     ""viewed"": 1,     ""browser"": 1     "
"We do not normally link IP addresses to anything personally identifiable , which means that a user 's session will be logged , but the user remains anonymous to us .",0,0,0.6913161277770996,0.3032405376434326,0.005219909828156233,0.00022339887800626457,""""": 1,     ""identifiable"": 1,     ""logged"": 2,     ""personally identifiable"": 1,     ""personally"": 1,     ""normally"": 1     "
"We can and will use IP addresses to identify a user when we feel it is necessary to enforce compliance with our community rules Code of Conduct or posted Legal Notice , or to protect our services , web sites , customers , or others .",2,1,0.20592084527015686,0.6828228831291199,0.10935995727777481,0.0018963799811899662,"""protect"": 1,     ""enforce compliance"": 2,     ""feel it is necessary"": 1,     ""we feel"": 1,     ""community rules code of conduct"": 1,     ""or others"": 3,     ""services"": 1,     ""identify a user"": 1,     ""others"": 1     "
"If you have registered with our site , you may at any time review and/or update the contact information we have for you or inform us that you want us to remove your information from our database by contacting customer service .",0,1,0.2652394771575928,0.6981396675109863,0.035548288375139236,0.0010725657921284437,""""": 1,     ""database"": 1,     ""may"": 1,     ""review"": 1,     ""review and/or update"": 1,     ""contact information"": 2     "
Wizards may collect and store personal information about children under 13 ( `` children '' or `` child '' ) if it is submitted by way of our registration form and with the parent 's or legal guardian 's verifiable consent .,1,1,0.009001821279525757,0.8535683155059814,0.13399602472782135,0.003433834295719862,"""verifiable consent"": 2,     ""may"": 4,     ""consent"": 2,     ""collect"": 1,     ""wizards"": 1,     ""personal information"": 2     "
"The information that a child provides on his/her registration form may be used to : ( a ) allow the child to participate in activities on our web sites ( e.g. , contests ) ; and , ( b ) allow us to send the child promotional materials , including information about new products , contests , features and enhancements , special offers , and other events of interest .",1,1,0.01771770976483822,0.918709933757782,0.05596395581960678,0.0076083834283053875,"""information"": 2,     ""features"": 1,     ""activities"": 2,     ""features enhancements"": 1,     ""special offers"": 1,     ""other events"": 1,     ""may be used"": 1,     ""promotional materials"": 1,     ""enhancements"": 1     "
"Wizards may share kids ' personal information with outside entities hired to assist with internal website support operations ( e.g. , online product fulfillment , e-mail services , or technical support ) .",1,2,0.009595905430614948,0.03998822346329689,0.9496477246284485,0.0007681022398173809,"""outside entities"": 2,     ""entities"": 1,     ""outside"": 1,     ""technical support"": 1,     ""internal website support operations"": 1,     ""website support operations"": 1,     ""personal information"": 4     "
"We may disclose personal information in the good faith belief that we are required to do so by law , including but not limited to disclosure to law enforcement or other government officials in connection with an investigation of fraud , intellectual property infringements , or other activity that is illegal or may expose you or us to legal liability .",2,1,0.013490745797753334,0.9272364377975464,0.05644368380308151,0.0028292087372392416,""""": 1,     ""disclosure"": 1,     ""legal liability"": 1,     ""may"": 1,     ""expose"": 1,     ""law enforcement"": 1,     ""good faith"": 2,     ""good faith belief"": 1,     ""in the good faith belief"": 1,     ""intellectual property infringements"": 2,     ""personal information"": 1     "
"However , in the event of a merger , acquisition , reorganization , bankruptcy , or other similar event , Wizards ' customer information may be transferred to Wizards ' successor or assign , if permitted by and done in accordance with applicable law .",1,2,0.0020080653484910727,0.053147222846746445,0.9378663897514343,0.006978416349738836,"""permitted"": 1,     ""reorganization"": 1,     ""accordance"": 1,     ""successor or assign"": 1,     ""transferred"": 1,     ""assign"": 2,     ""applicable law"": 1,     ""wizards"": 1,     ""customer information"": 1,     ""successor"": 1,     ""event"": 1,     ""acquisition"": 2,     ""bankruptcy"": 2     "
"This can be , and is not limited to : posting as an anonymous user ( hereinafter anonymous posts ) , registering on xkcd ( hereinafter your account ) and posts submitted by you after registration and whilst logged in ( hereinafter your posts ) .",2,1,0.29068776965141296,0.6776416897773743,0.025079231709241867,0.006591270212084055,"""limited"": 1,     ""posting"": 2,     ""not limited to"": 2,     ""not limited"": 1,     ""can be"": 2,     ""whilst"": 2,     ""anonymous user"": 1,     ""hereinafter"": 1,     ""xkcd"": 2     "
Please take a few minutes and review the revised policy .,0,1,0.20637622475624084,0.7646527886390686,0.025914696976542473,0.0030563175678253174,"""policy"": 1,     ""revised"": 3     "
"These Corporate Rules are a commitment by eBay Inc. to adequately protect your personal information regardless of where the data resides , and depending upon your location , may provide additional privacy rights through your privacy regulator or a court .",1,1,0.005897439084947109,0.9104520082473755,0.08138613402843475,0.002264459850266576,"""these"": 1,     ""court"": 1,     ""additional"": 1,     ""corporate rules"": 1,     ""adequately protect"": 1,     ""additional privacy rights"": 2,     ""privacy regulator"": 1,     ""rules"": 1,     ""location"": 1,     ""adequately"": 1,     ""personal information"": 3     "
Kijiji does n't sell or rent users ' personal information to third parties for their marketing purposes without users explicit consent .,2,1,0.079859159886837,0.917441725730896,0.0023407991975545883,0.0003583908546715975,"""third parties"": 2,     ""explicit consent"": 1,     ""rent users"": 1,     ""n't"": 1,     ""rent"": 1,     ""marketing purposes"": 1,     ""for their"": 1,     ""personal information"": 3     "
service providers who help with our business operations .,1,0,0.7845404744148254,0.09844152629375458,0.11297280341386795,0.004045155830681324,"""help"": 1,     ""business"": 1,     ""busiess"": 1,     ""service providers"": 1,     ""business operations"": 1,     ""service providers operations"": 1,     ""our"": 1     "
Kijiji sometimes works with service providers who may place cookies on your computer to serve and measure the effectiveness of ads on our or our advertising partners ' behalf and collect anonymous information about how you use websites owned by Kijiji and its affiliates .,2,1,0.02660560980439186,0.8956378102302551,0.0727383941411972,0.005018177907913923,"""how you use"": 1,     ""may"": 3,     ""sometimes"": 3,     ""affiliates"": 1,     ""advertising partners"": 1,     ""sometimes works with"": 1,     ""collect"": 1,     ""may place cookies"": 1     "
"If Kijiji or our corporate affiliates are involved in a merger or acquisition , Kijiji may share personal information with another company , but this policy will continue to apply .",1,1,0.0006166395614854991,0.8861832618713379,0.10842622816562653,0.004773898050189018,""""": 1,     ""information"": 1,     ""may"": 1,     ""affiliates"": 1,     ""may share"": 1,     ""this policy"": 1,     ""personal informatioin"": 1,     ""our corporate affiliates"": 1,     ""personal information"": 1,     ""another company"": 1     "
"That 's so we can provide you with the service , charge you for it and let you know if we make changes to it .",0,0,0.5684720277786255,0.40134263038635254,0.029386719688773155,0.0007985934498719871,"""provide"": 1,     ""changes"": 1,     ""make changes"": 1,     ""service"": 2     "
The law says we have to keep certain information about how you use our services for 12 months .,0,1,0.11116096377372742,0.8029217720031738,0.08263732492923737,0.003279860829934478,"""information"": 1,     ""we"": 1,     ""certain information"": 1,     ""says"": 1,     ""certain"": 3,     ""we have"": 1,     ""the"": 1,     ""law"": 1,     ""you"": 1,     ""our services"": 1     "
"This information may be used by law enforcement agencies to detect crime and protect national security , but we only disclose information to them when we 're legally required to .",0,1,0.04397100210189819,0.6087213158607483,0.3418169915676117,0.005490684416145086,"""may"": 1,     ""information"": 2,     ""law enforcement agencies"": 1,     """": 1     "
"We might also need your direct debit or credit card details to charge you for the service , and information about your devices and viewing cards so we can provide you with the service .",1,0,0.7553023099899292,0.17159144580364227,0.07248467952013016,0.0006215180619619787,"""information"": 1,     ""card details"": 1,     ""service"": 1,     ""also"": 1,     ""viewing cards"": 1,     ""might"": 2     "
"Unless you tell us not to , we may take details of the devices you use , channels and programmes you watch , adverts and services you access for example how you view , record or fast forward them to provide you with personalised services .",2,1,0.09314281493425369,0.8776546120643616,0.02835254929959774,0.0008500635740347207,""""": 1,     ""unless"": 1,     ""personalised services"": 1,     ""tell us"": 2,     ""may"": 2,     ""details"": 3,     ""adverts"": 1,     ""take details"": 1,     ""services"": 2,     ""how you view"": 1,     ""not to"": 1,     ""take"": 1     "
"If you opt out of personal recommendations , you may still get general content recommendations and adverts .",1,1,0.19415566325187683,0.786307156085968,0.016375556588172913,0.003161662258207798,"""personal recommendations"": 1,     ""general content"": 2,     ""opt out"": 1,     ""general content recommendations"": 1,     ""you may"": 1     "
"Where you take our TV services through our partners we share your information to help provide you with the service and sometimes for marketing , but only if you 've told us that 's okay .",2,1,0.09012909233570099,0.8384315371513367,0.07036924362182617,0.0010701750870794058,"""information"": 2,     ""through our partners"": 1,     ""sometimes"": 3,     ""okay"": 1,     ""marketing"": 2,     ""our partners"": 1,     ""share"": 1,     ""us"": 1,     ""take"": 1,     ""your information"": 1     "
"Depending on how you set up your marketing preferences , we may share information about how you 've used our website with our advertisers and other companies who offer their services on our pages .",1,1,0.12314704805612564,0.5634257197380066,0.31207865476608276,0.0013486399548128247,"""may"": 1,     ""their services"": 1,     ""marketing preferences"": 2,     ""other companies"": 1,     ""may share"": 1     "
We fix the icons to a sliding scale which you can set to choose which cookie types you want to have on your device at any time .,0,0,0.971639096736908,0.027604660019278526,0.0006412624497897923,0.00011498753883643076,"""sliding scale"": 1,     ""icons"": 1     "
Some cookies are 'strictly necessary ' for us to give you the online service you 've asked for .,1,1,0.15666621923446655,0.813686728477478,0.028945570811629295,0.000701540382578969,""""": 1,     ""necessary"": 1,     ""strictly"": 1,     ""some"": 2,     ""us"": 1     "
"That 's so if you check your internet settings , you know what these are if you 've agreed we can use them .",1,0,0.9534868001937866,0.044830311089754105,0.0016175986966118217,6.528061931021512e-05,"""them"": 1,     ""can"": 1,     ""these"": 1,     ""use"": 1,     ""what these"": 1,     ""internet settings"": 1,     ""check"": 1,     ""if"": 2     "
You can always take cookies off your device using your browser settings .,0,0,0.6816986799240112,0.31593194603919983,0.001419160282239318,0.0009502836619503796,"""cookies"": 1,     ""settings"": 2,     ""browser"": 1     "
"But if you do , some things wo n't work as well for example , lots of pop up boxes might run the same ads , or you might n't be able to get to a page you earlier personalised .",1,1,0.08025023341178894,0.9100934267044067,0.007990890182554722,0.0016654584323987365,"""do"": 1,     ""earlier personalised"": 1,     ""mightn't"": 1,     ""lots of"": 1,     ""might"": 1,     ""some"": 1,     ""but"": 1,     ""lots"": 1,     ""wo n't"": 1,     ""might n't"": 1,     ""you"": 1,     ""if"": 1,     ""some things"": 2,     ""personalised"": 1     "
"When they get a search from us , a 'footprint ' goes on your file which other organisations might see .",1,1,0.03546486794948578,0.9153507947921753,0.043026793748140335,0.006157552823424339,"""they"": 2,     ""other organisations"": 2,     ""us"": 2,     ""organisations might see"": 1,     ""file"": 1,     ""footprint"": 2,     ""might"": 1     "
"There are a few different CRAs in the UK , and each one might have different information on you .",1,2,0.13422560691833496,0.3460553288459778,0.45751631259918213,0.06220273673534393,"""information"": 1,     ""different"": 1,     ""might have"": 1,     ""cras"": 3,     ""few"": 2,     ""different information"": 1,     ""might"": 1     "
"To do that , they may need to process your personal information .",1,2,0.18965500593185425,0.35917121171951294,0.38088271021842957,0.07029111683368683,""""": 1,     ""information"": 1,     ""that"": 2,     ""may"": 1,     ""to process"": 1,     ""to do that"": 1,     ""they"": 1,     ""do that"": 1,     ""personal information"": 1     "
You can tell us in lots of ways :,1,0,0.8565524816513062,0.12899361550807953,0.012520146556198597,0.0019338293932378292,"""lots"": 1,     ""lots of ways"": 2,     ""ways"": 1,     ""tell"": 1     "
"Starfall may disclose user information if required in response to judicial process , or to law enforcement agencies or in connection with an investigation on a matter related to public safety .",1,2,0.023939888924360275,0.3966110050678253,0.5685064196586609,0.01094267051666975,""""": 1,     ""information"": 1,     ""judicial process"": 1,     ""enforcement"": 1,     ""may"": 2,     ""if required"": 1,     ""on a matter"": 1,     ""may disclose"": 1     "
"We understand , acknowledge and respect any individual 's right to privacy and the concerns one may have in regard to privacy and security .",0,1,0.2748813033103943,0.36917224526405334,0.35014811158180237,0.005798336584120989,"""concerns"": 2,     ""acknowledge"": 1     "
IMPORTANT NOTE ! The Cleveland Clinic Notice of Privacy Practices is a separate document that governs how medical information about you may be used and disclosed by Cleveland Clinic .,0,1,0.17811165750026703,0.7377338409423828,0.08077900111675262,0.0033754936885088682,"""medical information"": 1,     ""governs"": 1,     ""may"": 1,     ""privacy"": 1,     ""disclosed"": 2,     ""separate"": 1     "
We do not collect information that would personally identify you unless you choose to provide it .,1,0,0.9310412406921387,0.051952511072158813,0.01640860177576542,0.0005976963439024985,"""collect"": 1,     ""information"": 1,     ""identify"": 1,     ""choose"": 2,     ""personally"": 3     "
"In some cases , telephone numbers , email addresses or return addresses are required so that we can supply requested information to you , and in other cases , correct names and addresses are required to process credit card payments .",1,1,0.23650436103343964,0.7504545450210571,0.012524567544460297,0.0005165612674318254,"""requested"": 1,     ""supply"": 1,     ""process"": 2,     ""required"": 1,     ""some"": 2,     ""some cases"": 3,     ""information"": 2,     ""other cases"": 2,     ""other"": 1,     ""cases"": 1     "
"Please note that although such information is not personally identifiable , we can determine from an IP address a visitor 's Internet Service Provider and the geographic location of his or her point of connectivity .",1,0,0.7350340485572815,0.26306456327438354,0.0017090336186811328,0.00019231470650993288,""""": 1,     ""point of connectivity"": 1,     ""although"": 1,     ""such information"": 3     "
"CLEVELAND CLINIC MAKES NO EXPRESS OR IMPLIED WARRANTIES , INCLUDING , BUT NOT LIMITED TO , ANY WARRANTIES OF MERCHANTABILITY , FITNESS FOR A PARTICULAR PURPOSE OR USE , TITLE OR NON INFRINGEMENT .",1,0,0.8213383555412292,0.17459556460380554,0.0036907640751451254,0.0003753146738745272,"""not limited to"": 3,     ""implied"": 1,     ""non infringement"": 1,     ""merchantability"": 1,     ""fitness"": 1     "
"FURTHERMORE , CLEVELAND CLINIC DOES NOT CONTROL THE DEVICES OR COMPUTERS OR THE INTERNET OVER WHICH YOU MAY CHOOSE TO SEND CONFIDENTIAL PERSONAL INFORMATION AND CAN NOT , THEREFORE , PREVENT SUCH INTERCEPTIONS OF COMPROMISES TO YOUR INFORMATION WHILE IN TRANSIT TO CLEVELAND CLINIC .",2,1,0.21949876844882965,0.7399632334709167,0.03368036821484566,0.006857603322714567,"""control"": 1,     ""prevent"": 1,     ""compromises"": 1,     ""information"": 1,     ""transit"": 1,     ""choose to send"": 1,     ""interception compromises"": 1,     ""choose"": 1,     ""personal information"": 2,     ""interceptions"": 1,     ""interceptions of compromises"": 2     "
"BEYOND OUR REASONABLE CARE TO SAFEGUARD YOUR INFORMATION WHILE IN TRANSIT , CLEVELAND CLINIC CAN NOT AND DOES NOT GUARANTEE THE ABSOLUTE SECURITY OF ELECTRONIC COMMUNICATIONS OR TRANSMISSIONS SINCE ANY TRANSMISSION MADE OVER THE INTERNET BY ANY ORGANIZATION OR ANY INDIVIDUAL RUNS THE RISK OF INTERCEPTION .",0,0,0.5331083536148071,0.4431628882884979,0.021893592551350594,0.001835134346038103,"""absolute security"": 1,     ""transit"": 1,     ""interception"": 2,     ""reasonable"": 2,     ""security"": 1,     ""safeguard"": 1,     ""absolute"": 1     "
"Third parties that support the Dow Jones Online Services by serving advertisements or providing services , such as providing users with the ability to comment on content , allowing users to share content , customizing content based on usage , or tracking aggregate site usage statistics , may also use these technologies to collect Other Information .",2,1,0.028163615614175797,0.8410731554031372,0.12751877307891846,0.0032444691751152277,"""serving advertisements"": 1,     ""use"": 1,     ""serving"": 1,     ""aggregate"": 2,     ""may also use"": 1,     ""third parties"": 2,     ""usage"": 1,     ""support"": 1,     ""advertisements"": 1,     ""content"": 1,     ""services"": 1,     ""collect"": 1,     ""statistics"": 1,     ""site usage"": 1,     ""customizing"": 1,     ""such as"": 1,     ""other information"": 5,     ""providing"": 1,     ""users"": 1     "
"We may combine Other Information with your Personal Information , and when we do , we treat the combined information as Personal Information .",2,2,0.07522737979888916,0.365926057100296,0.4737783670425415,0.0850682333111763,"""may"": 2,     ""when"": 1,     ""we may"": 1,     ""other"": 1,     ""other information"": 4,     ""personal information"": 3     "
Some Online Services use the information we collect in site-specific ways .,1,1,0.07507015764713287,0.8486944437026978,0.0749099850654602,0.0013254876248538494,"""information"": 2,     ""some"": 1,     ""site-specific"": 1,     ""site-specific ways"": 2,     ""some online services"": 1     "
"Dow Jones may use your Personal Information as we believe to be necessary or appropriate in order to : ( i ) protect , enforce , or defend the legal rights , privacy , safety , or property of Dow Jones , our Dow Jones Affiliates or their employees , agents and contractors ( including enforcement of our agreements and our terms of use ) ; ( ii ) protect the safety , privacy , and security of users of our products and services or members of the public ; ( iii ) protect against fraud or for risk management purposes ; ( iv ) comply with the law or legal process , including laws outside your country of residence ; or ( v ) to respond to requests from public and government authorities including public and government authorities outside your country of residence .",1,2,0.00429340498521924,0.34230419993400574,0.6518126130104065,0.001589747378602624,""""": 1,     ""as we believe"": 1,     ""respond to"": 1,     ""agents"": 1,     ""risk management purposes"": 1,     ""may"": 2,     ""affiliates"": 1,     ""to be necessary"": 1,     ""appropriate"": 1,     ""their employees"": 1,     ""contractors"": 1,     ""necessary"": 1,     ""believe"": 2,     ""personal information"": 2     "
"We may make your Personal Information available to certain third-party service providers , such as contractors , agents or sponsors , who help us manage or provide our products and services by , for example : developing or supporting products and features ; sending email messages on our behalf ; processing payments ; fulfilling orders ; delivering subscriptions ; auditing ; processing data or statistics ; and serving , customizing or delivering marketing or ads .",2,1,0.13179680705070496,0.7441375255584717,0.10869354009628296,0.015372080728411674,"""available"": 1,     ""manage"": 1,     ""develop"": 1,     ""contractors"": 1,     ""may"": 1,     ""certain"": 2,     ""third-party"": 1,     ""sponsors"": 1,     ""certain third-party service providers"": 1,     ""may make"": 2,     ""behalf"": 1,     ""customizing"": 1,     ""example"": 1,     ""personal information"": 2     "
These outside service providers are required to protect Personal Information entrusted to them and not use it for any other purpose than the specific service they are providing to us .,1,1,0.09943421930074692,0.7881966233253479,0.10765639692544937,0.004712752997875214,""""": 1,     ""entrusted"": 1,     ""outside service providers"": 2,     ""specific service"": 1,     ""other than specific service"": 1,     ""personal information"": 2     "
"By virtue of these relationships , we may share the information you submit in connection with the Co-Branded Service with the third party .",1,2,0.03489482402801514,0.11916055530309677,0.8387197256088257,0.007224859669804573,"""relationships"": 1,     ""information"": 1,     ""the information"": 1,     ""in connection"": 1,     ""may"": 1,     ""third party"": 4,     ""co-branded service"": 1,     ""may share"": 1,     ""these relationships"": 1     "
The third party 's use of your information will be governed by the third party 's privacy policy .,2,1,0.15124455094337463,0.8288414478302002,0.019013194367289543,0.0009008050546981394,"""use"": 1,     ""the third party"": 1,     ""governed"": 1,     ""third party's"": 1,     ""use of"": 1,     ""third party"": 1,     ""will be governed"": 1,     ""your information"": 2,     ""third party 's use"": 1     "
"The Dow Jones Online Services may also be linked to sites operated by third parties , and may carry advertisements or offer content , functionality , games or applications developed and maintained by third parties .",1,1,0.0050032357685267925,0.7366936802864075,0.25539737939834595,0.002905684057623148,"""third parties"": 3,     ""may"": 1,     ""sites"": 2,     ""content"": 1,     ""functionality"": 1,     ""avertisements"": 1,     ""operated"": 1,     ""linked"": 1     "
"Before sending any information about yourself over the Internet to us or anyone else , be sure to ask your parents for permission .",0,0,0.9704028964042664,0.025316208600997925,0.004036338999867439,0.0002446017460897565,"""parents for permission"": 1,     ""anyone else"": 2     "
Here are some tips :,0,0,0.5304774641990662,0.2659362554550171,0.14453737437725067,0.0590488538146019,"""tips"": 1,     ""some"": 1,     ""are"": 1,     ""here"": 1     "
